target,threshold,rows,covered_rows,coverage,accuracy_covered,accuracy_all
reason,0.3,840,837,0.9964,0.8136,0.8131
reason,0.35,840,819,0.975,0.8242,0.8131
reason,0.4,840,800,0.9524,0.84,0.8131
reason,0.45,840,757,0.9012,0.856,0.8131
reason,0.5,840,715,0.8512,0.8797,0.8131
reason,0.55,840,662,0.7881,0.9018,0.8131
reason,0.6,840,607,0.7226,0.9226,0.8131
reason,0.65,840,537,0.6393,0.9441,0.8131
reason,0.7,840,472,0.5619,0.9492,0.8131
reason,0.75,840,366,0.4357,0.9672,0.8131
reason,0.8,840,263,0.3131,0.9886,0.8131
reason,0.85,840,184,0.219,0.9946,0.8131
reason,0.9,840,90,0.1071,1.0,0.8131
sentiment,0.3,840,840,1.0,0.7036,0.7036
sentiment,0.35,840,840,1.0,0.7036,0.7036
sentiment,0.4,840,840,1.0,0.7036,0.7036
sentiment,0.45,840,840,1.0,0.7036,0.7036
sentiment,0.5,840,840,1.0,0.7036,0.7036
sentiment,0.55,840,701,0.8345,0.7233,0.7036
sentiment,0.6,840,568,0.6762,0.7518,0.7036
sentiment,0.65,840,440,0.5238,0.7773,0.7036
sentiment,0.7,840,313,0.3726,0.7827,0.7036
sentiment,0.75,840,194,0.231,0.8196,0.7036
sentiment,0.8,840,108,0.1286,0.8426,0.7036
sentiment,0.85,840,47,0.056,0.8511,0.7036
sentiment,0.9,840,10,0.0119,0.8,0.7036
